2019-08-13 16:45:01 AliSpeech_C++SDK(INFO)[140214718076672]: getStartCommand:253 StartCommand: {"context":{"sdk":{"language":"C++","name":"nls-sdk-linux","version":"2.3.15"}},"header":{"appkey":"un2wEHfu32KN5ELW","message_id":"1748f1f5b40544bea75bc7058a9b826e","name":"StartTranscription","namespace":"SpeechTranscriber","task_id":"73bcd2184fd4467ab91e75b846133f09"},"payload":{"enable_intermediate_result":true,"enable_inverse_text_normalization":true,"enable_punctuation_prediction":true,"format":"pcm","sample_rate":8000}}

2019-08-13 16:45:01 AliSpeech_C++SDK(INFO)[140214718076672]: start:152 StartCommand sent to server.
2019-08-13 16:45:01 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:01 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionStarted","status":20000000,"message_id":"14b3a63dc2084f13bd9c22c5ab7db10e","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."}}
2019-08-13 16:45:01 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:02 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:02 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"SentenceBegin","status":20000000,"message_id":"8c131b82664d43b6abf5b34529ffcd88","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":0}}
2019-08-13 16:45:02 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:03 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:03 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"0c0ace35bfe64c5d833bba4d01a6ff5e","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":1350,"result":"喂你好","confidence":0.37886765599250793,"words":[],"status":20000000}}
2019-08-13 16:45:03 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:03 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:03 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"8868162d0e434be7aa0cbef5bd32e623","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":1950,"result":"喂，你好哎","confidence":0.39489710330963135,"words":[],"status":20000000}}
2019-08-13 16:45:03 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:04 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:04 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"ae6e8e1cb5284b50aee3d53fba7dd6ec","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":2550,"result":"喂，你好，哎先生你好","confidence":0.4231935739517212,"words":[],"status":20000000}}
2019-08-13 16:45:04 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:04 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:04 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"c77a4f532954440f8f157550f13c0fcd","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":3150,"result":"喂，你好，哎先生你好呃我","confidence":0.3859395682811737,"words":[],"status":20000000}}
2019-08-13 16:45:04 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:05 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:05 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"9c89460ca5264fcb840d37ef8f22c5ed","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":3750,"result":"喂，你好，哎先生你好呃，我们这边是","confidence":0.4254268407821655,"words":[],"status":20000000}}
2019-08-13 16:45:05 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:06 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:06 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"a38b11d53712461e986b87deecd6419e","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":4350,"result":"喂，你好，哎先生你好呃，我们这边是裕胜透明","confidence":0.41554537415504456,"words":[],"status":20000000}}
2019-08-13 16:45:06 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:06 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:06 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"9db8a1eb4dbb4846b57161a2082d5937","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":4950,"result":"喂，你好，哎先生你好呃，我们这边是裕胜透明金融你","confidence":0.39582276344299316,"words":[],"status":20000000}}
2019-08-13 16:45:06 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:07 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:07 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"596ee120a98c4303a6cba1650ac72595","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":5550,"result":"喂，你好，哎先生你好呃，我们这边是裕胜透明金融，你的一对一","confidence":0.41578638553619385,"words":[],"status":20000000}}
2019-08-13 16:45:07 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:07 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:07 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"cbe3d9e260354f1e9076b41ac187af5c","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":6150,"result":"喂，你好，哎先生你好呃，我们这边是裕胜透明金融，你的一对一专属银行","confidence":0.4165453314781189,"words":[],"status":20000000}}
2019-08-13 16:45:07 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:08 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
2019-08-13 16:45:08 AliSpeech_C++SDK(INFO)[140214709683968]: convertResult:51 Response: {"header":{"namespace":"SpeechTranscriber","name":"TranscriptionResultChanged","status":20000000,"message_id":"d626e79b6cc5480ab909a657b9a50c40","task_id":"73bcd2184fd4467ab91e75b846133f09","status_text":"Gateway:SUCCESS:Success."},"payload":{"index":1,"time":6750,"result":"喂，你好，哎先生你好呃，我们这边是裕胜透明金融，你的一对一专属银行贷款，问我","confidence":0.41758719086647034,"words":[],"status":20000000}}
2019-08-13 16:45:08 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:469 End HandlerFrame.
2019-08-13 16:45:09 AliSpeech_C++SDK(INFO)[140214709683968]: handlerFrame:379 Begin HandlerFrame.
